2004-01-01 15:24:01.000-08:00 - $$OsAdmin: Intel(R) ME Time Set
2019-05-21 07:02:11.000-07:00 - Local: Provisioning Started
2019-05-21 07:10:41.000-07:00 - admin: KVM Enabled
2019-05-21 07:10:46.000-07:00 - admin: Opt-In Policy Change
2019-05-21 07:10:50.000-07:00 - admin: KVM Session Started
2019-05-21 07:12:27.000-07:00 - admin: KVM Session Ended
2019-05-21 07:12:49.000-07:00 - admin: KVM Session Started
2019-05-21 07:13:27.000-07:00 - admin: KVM Session Ended
2019-05-22 23:35:07.000-07:00 - admin: KVM Session Started
2019-05-22 23:35:22.000-07:00 - admin: KVM Session Ended
2019-05-22 23:58:41.000-07:00 - admin: KVM Session Started
2019-05-22 23:59:16.000-07:00 - admin: KVM Session Ended
2019-05-23 22:53:14.000-07:00 - $$OsAdmin: ACL Access with Invalid Credentials
2019-05-23 23:11:56.000-07:00 - admin: KVM Session Started
2019-05-23 23:12:19.000-07:00 - admin: KVM Session Ended
2019-05-24 03:30:15.000-07:00 - $$OsAdmin: ACL Access with Invalid Credentials
2019-05-24 03:31:33.000-07:00 - admin: KVM Session Started
2019-05-24 03:31:37.000-07:00 - admin: KVM Session Ended
2019-05-24 03:32:05.000-07:00 - admin: Set Boot Options
2019-05-24 03:32:05.000-07:00 - admin: Set Boot Options
2019-05-24 03:32:05.000-07:00 - admin: Performed Reset
2019-05-24 03:33:17.000-07:00 - admin: KVM Session Started
2019-05-24 03:33:29.000-07:00 - admin: Set Boot Options
2019-05-24 03:33:29.000-07:00 - admin: Set Boot Options
2019-05-24 03:33:30.000-07:00 - admin: Performed Reset
2019-05-24 03:33:54.000-07:00 - admin: KVM Session Ended
2019-05-24 03:38:48.000-07:00 - admin: KVM Session Started
2019-05-24 03:38:57.000-07:00 - admin: Set Boot Options
2019-05-24 03:38:57.000-07:00 - admin: Set Boot Options
2019-05-24 03:38:57.000-07:00 - admin: Performed Reset
2019-05-24 03:39:27.000-07:00 - admin: KVM Session Ended
2019-05-24 03:40:12.000-07:00 - admin: KVM Session Started
2019-05-24 03:40:28.000-07:00 - admin: Set Boot Options
2019-05-24 03:40:28.000-07:00 - admin: Set Boot Options
2019-05-24 03:40:28.000-07:00 - admin: Performed Reset
2019-05-24 03:40:58.000-07:00 - admin: KVM Session Ended
2019-05-24 03:48:26.000-07:00 - admin: KVM Session Started
2019-05-24 03:48:44.000-07:00 - admin: Set Boot Options
2019-05-24 03:48:44.000-07:00 - admin: Set Boot Options
2019-05-24 03:48:44.000-07:00 - admin: Performed Reset
2019-05-24 03:50:18.000-07:00 - admin: Set Boot Options
2019-05-24 03:50:19.000-07:00 - admin: Set Boot Options
2019-05-24 03:50:19.000-07:00 - admin: Performed Reset
2019-05-24 03:51:47.000-07:00 - admin: KVM Session Ended
2019-05-24 03:55:52.000-07:00 - admin: Set Boot Options
2019-05-24 03:55:52.000-07:00 - admin: Set Boot Options
2019-05-24 03:55:53.000-07:00 - admin: Performed Power Up
2019-05-24 03:56:46.000-07:00 - admin: KVM Session Started
2019-05-24 03:57:08.000-07:00 - admin: KVM Session Ended
2019-05-24 03:58:01.000-07:00 - admin: KVM Session Started
2019-05-24 03:58:27.000-07:00 - admin: Set Boot Options
2019-05-24 03:58:27.000-07:00 - admin: Set Boot Options
2019-05-24 03:58:27.000-07:00 - admin: Performed Reset
2019-05-24 04:00:09.000-07:00 - admin: KVM Session Ended
2019-05-24 04:01:41.000-07:00 - admin: KVM Session Started
2019-05-24 04:02:11.000-07:00 - admin: Set Boot Options
2019-05-24 04:02:11.000-07:00 - admin: Set Boot Options
2019-05-24 04:02:11.000-07:00 - admin: #6
2019-05-24 04:03:56.000-07:00 - admin: KVM Session Ended
2019-05-24 04:04:41.000-07:00 - admin: KVM Session Started
2019-05-24 04:04:43.000-07:00 - admin: KVM Session Ended
2019-05-24 04:04:45.000-07:00 - admin: KVM Session Started
2019-05-24 04:04:58.000-07:00 - admin: KVM Session Ended
2019-05-24 04:08:07.000-07:00 - admin: Set Boot Options
