2004-01-01 00:17:34.000-08:00 - $$OsAdmin: Intel(R) ME Time Set
2018-06-20 00:49:01.000-07:00 - $$OsAdmin: Intel(R) ME Time Set
2019-05-23 18:24:43.000-07:00 - $$OsAdmin: Intel(R) ME Time Set
2019-05-24 09:28:34.000-07:00 - Local: Provisioning Started
2019-05-24 09:28:49.000-07:00 - Local: Opt-In Policy Change
2019-05-24 09:37:09.000-07:00 - admin: KVM Enabled
2019-05-24 09:37:27.000-07:00 - admin: KVM Session Started
2019-05-24 09:41:04.000-07:00 - admin: KVM Session Ended
2019-05-24 09:41:04.000-07:00 - admin: Set Boot Options
2019-05-24 09:41:05.000-07:00 - admin: Set Boot Options
2019-05-24 09:41:05.000-07:00 - admin: Performed Power Down
2019-05-24 11:21:41.000-07:00 - admin: KVM Session Started
2019-05-24 11:21:46.000-07:00 - admin: KVM Session Ended
2019-06-19 14:24:23.000-07:00 - admin: SoL Session Opened
2019-06-19 14:24:25.000-07:00 - Local: SoL Session Closed
2019-06-19 14:29:00.000-07:00 - admin: Set Boot Options
2019-06-19 14:29:00.000-07:00 - admin: Set Boot Options
2019-06-19 14:29:00.000-07:00 - admin: Performed Power Down
