2003-12-31 23:05:47.000-08:00 - $$OsAdmin: Intel(R) ME Time Set
2018-06-19 05:55:42.000-07:00 - $$OsAdmin: Intel(R) ME Time Set
2018-10-01 18:31:04.000-07:00 - $$OsAdmin: Intel(R) ME Time Set
2018-10-02 09:53:31.000-07:00 - Local: Provisioning Started
2019-05-24 09:32:12.000-07:00 - admin: KVM Enabled
2019-05-24 09:32:34.000-07:00 - admin: Opt-In Policy Change
2019-05-24 09:32:44.000-07:00 - admin: KVM Session Started
2019-05-24 09:33:12.000-07:00 - admin: KVM Session Ended
2019-05-24 11:17:45.000-07:00 - admin: KVM Session Started
2019-05-24 11:17:55.000-07:00 - admin: KVM Session Ended
2019-05-29 14:22:50.000-07:00 - admin: Set Boot Options
2019-05-29 14:22:51.000-07:00 - admin: Set Boot Options
2019-05-29 14:22:51.000-07:00 - admin: Performed Power Down
2019-06-19 14:24:15.000-07:00 - admin: SoL Session Opened
2019-06-19 14:24:17.000-07:00 - Local: SoL Session Closed
2019-06-19 14:24:20.000-07:00 - admin: KVM Session Started
2019-06-19 14:24:22.000-07:00 - admin: KVM Session Ended
2019-07-12 13:17:33.000-07:00 - admin: KVM Session Started
2019-07-12 13:17:58.000-07:00 - admin: Set Boot Options
2019-07-12 13:17:58.000-07:00 - admin: Set Boot Options
2019-07-12 13:17:58.000-07:00 - admin: Performed Reset
2019-07-12 13:20:12.000-07:00 - admin: Set Boot Options
2019-07-12 13:20:12.000-07:00 - admin: Set Boot Options
2019-07-12 13:20:12.000-07:00 - admin: Performed Reset
2019-07-12 13:24:03.000-07:00 - admin: Set Boot Options
2019-07-12 13:24:03.000-07:00 - admin: Set Boot Options
2019-07-12 13:24:03.000-07:00 - admin: Performed Reset
2019-07-12 13:27:57.000-07:00 - admin: Set Boot Options
2019-07-12 13:27:57.000-07:00 - admin: Set Boot Options
2019-07-12 13:27:57.000-07:00 - admin: Performed Reset
2019-07-12 13:33:21.000-07:00 - admin: KVM Session Ended
2019-07-12 13:33:22.000-07:00 - admin: Set Boot Options
2019-07-12 13:33:22.000-07:00 - admin: Set Boot Options
2019-07-12 13:33:22.000-07:00 - admin: Performed Power Down
2019-07-16 10:42:12.000-07:00 - admin: KVM Session Started
2019-07-16 10:45:57.000-07:00 - admin: Set Boot Options
2019-07-16 10:45:58.000-07:00 - admin: Set Boot Options
2019-07-16 10:45:58.000-07:00 - admin: Performed Reset
2019-07-16 10:56:25.000-07:00 - admin: KVM Session Ended
2019-07-16 10:56:25.000-07:00 - admin: Set Boot Options
2019-07-16 10:56:25.000-07:00 - admin: Set Boot Options
2019-07-16 10:56:25.000-07:00 - admin: Performed Power Down
2019-07-16 10:57:08.000-07:00 - admin: KVM Session Started
2019-07-16 11:01:56.000-07:00 - admin: Set Boot Options
2019-07-16 11:01:56.000-07:00 - admin: Set Boot Options
2019-07-16 11:01:56.000-07:00 - admin: Performed Power Up
2019-07-16 11:02:05.000-07:00 - admin: KVM Session Ended
2019-07-16 11:02:20.000-07:00 - admin: KVM Session Started
2019-07-16 11:09:47.000-07:00 - admin: KVM Session Ended
2019-07-16 11:15:17.000-07:00 - admin: Set Boot Options
2019-07-16 11:15:17.000-07:00 - admin: Set Boot Options
2019-07-16 11:15:17.000-07:00 - admin: Performed Power Down
